Name,Batch,CellType,Channel
Reporter.intensity.corrected.8.SC_250_1,1,C10,8
Reporter.intensity.corrected.11.SC_250_1,1,C10,11
Reporter.intensity.corrected.14.SC_250_1,1,C10,14
Reporter.intensity.corrected.8.SC_250_2,2,C10,8
Reporter.intensity.corrected.11.SC_250_2,2,C10,11
Reporter.intensity.corrected.14.SC_250_2,2,C10,14
Reporter.intensity.corrected.8.SC_250_3,3,C10,8
Reporter.intensity.corrected.11.SC_250_3,3,C10,11
Reporter.intensity.corrected.14.SC_250_3,3,C10,14
Reporter.intensity.corrected.8.SC_250_4,4,C10,8
Reporter.intensity.corrected.11.SC_250_4,4,C10,11
Reporter.intensity.corrected.14.SC_250_4,4,C10,14
Reporter.intensity.corrected.8.SC_250_5,5,C10,8
Reporter.intensity.corrected.11.SC_250_5,5,C10,11
Reporter.intensity.corrected.14.SC_250_5,5,C10,14
Reporter.intensity.corrected.8.SC_250_6,6,C10,8
Reporter.intensity.corrected.11.SC_250_6,6,C10,11
Reporter.intensity.corrected.14.SC_250_6,6,C10,14
Reporter.intensity.corrected.8.SC_250_7,7,C10,8
Reporter.intensity.corrected.11.SC_250_7,7,C10,11
Reporter.intensity.corrected.14.SC_250_7,7,C10,14
Reporter.intensity.corrected.8.SC_250_8,8,C10,8
Reporter.intensity.corrected.11.SC_250_8,8,C10,11
Reporter.intensity.corrected.14.SC_250_8,8,C10,14
Reporter.intensity.corrected.8.SC_250_9,9,C10,8
Reporter.intensity.corrected.11.SC_250_9,9,C10,11
Reporter.intensity.corrected.14.SC_250_9,9,C10,14
Reporter.intensity.corrected.8.SC_250_10,10,C10,8
Reporter.intensity.corrected.11.SC_250_10,10,C10,11
Reporter.intensity.corrected.14.SC_250_10,10,C10,14
Reporter.intensity.corrected.8.SC_250_11,11,C10,8
Reporter.intensity.corrected.11.SC_250_11,11,C10,11
Reporter.intensity.corrected.14.SC_250_11,11,C10,14
Reporter.intensity.corrected.8.SC_250_12,12,C10,8
Reporter.intensity.corrected.11.SC_250_12,12,C10,11
Reporter.intensity.corrected.14.SC_250_12,12,C10,14
Reporter.intensity.corrected.9.SC_250_1,1,RAW,9
Reporter.intensity.corrected.12.SC_250_1,1,RAW,12
Reporter.intensity.corrected.15.SC_250_1,1,RAW,15
Reporter.intensity.corrected.9.SC_250_2,2,RAW,9
Reporter.intensity.corrected.12.SC_250_2,2,RAW,12
Reporter.intensity.corrected.15.SC_250_2,2,RAW,15
Reporter.intensity.corrected.9.SC_250_3,3,RAW,9
Reporter.intensity.corrected.12.SC_250_3,3,RAW,12
Reporter.intensity.corrected.15.SC_250_3,3,RAW,15
Reporter.intensity.corrected.9.SC_250_4,4,RAW,9
Reporter.intensity.corrected.12.SC_250_4,4,RAW,12
Reporter.intensity.corrected.15.SC_250_4,4,RAW,15
Reporter.intensity.corrected.9.SC_250_5,5,RAW,9
Reporter.intensity.corrected.12.SC_250_5,5,RAW,12
Reporter.intensity.corrected.15.SC_250_5,5,RAW,15
Reporter.intensity.corrected.9.SC_250_6,6,RAW,9
Reporter.intensity.corrected.12.SC_250_6,6,RAW,12
Reporter.intensity.corrected.15.SC_250_6,6,RAW,15
Reporter.intensity.corrected.9.SC_250_7,7,RAW,9
Reporter.intensity.corrected.12.SC_250_7,7,RAW,12
Reporter.intensity.corrected.15.SC_250_7,7,RAW,15
Reporter.intensity.corrected.9.SC_250_8,8,RAW,9
Reporter.intensity.corrected.12.SC_250_8,8,RAW,12
Reporter.intensity.corrected.15.SC_250_8,8,RAW,15
Reporter.intensity.corrected.9.SC_250_9,9,RAW,9
Reporter.intensity.corrected.12.SC_250_9,9,RAW,12
Reporter.intensity.corrected.15.SC_250_9,9,RAW,15
Reporter.intensity.corrected.9.SC_250_10,10,RAW,9
Reporter.intensity.corrected.12.SC_250_10,10,RAW,12
Reporter.intensity.corrected.15.SC_250_10,10,RAW,15
Reporter.intensity.corrected.9.SC_250_11,11,RAW,9
Reporter.intensity.corrected.12.SC_250_11,11,RAW,12
Reporter.intensity.corrected.15.SC_250_11,11,RAW,15
Reporter.intensity.corrected.9.SC_250_12,12,RAW,9
Reporter.intensity.corrected.12.SC_250_12,12,RAW,12
Reporter.intensity.corrected.15.SC_250_12,12,RAW,15
Reporter.intensity.corrected.10.SC_250_1,1,SVEC,10
Reporter.intensity.corrected.13.SC_250_1,1,SVEC,13
Reporter.intensity.corrected.16.SC_250_1,1,SVEC,16
Reporter.intensity.corrected.10.SC_250_2,2,SVEC,10
Reporter.intensity.corrected.13.SC_250_2,2,SVEC,13
Reporter.intensity.corrected.16.SC_250_2,2,SVEC,16
Reporter.intensity.corrected.10.SC_250_3,3,SVEC,10
Reporter.intensity.corrected.13.SC_250_3,3,SVEC,13
Reporter.intensity.corrected.16.SC_250_3,3,SVEC,16
Reporter.intensity.corrected.10.SC_250_4,4,SVEC,10
Reporter.intensity.corrected.13.SC_250_4,4,SVEC,13
Reporter.intensity.corrected.16.SC_250_4,4,SVEC,16
Reporter.intensity.corrected.10.SC_250_5,5,SVEC,10
Reporter.intensity.corrected.13.SC_250_5,5,SVEC,13
Reporter.intensity.corrected.16.SC_250_5,5,SVEC,16
Reporter.intensity.corrected.10.SC_250_6,6,SVEC,10
Reporter.intensity.corrected.13.SC_250_6,6,SVEC,13
Reporter.intensity.corrected.16.SC_250_6,6,SVEC,16
Reporter.intensity.corrected.10.SC_250_7,7,SVEC,10
Reporter.intensity.corrected.13.SC_250_7,7,SVEC,13
Reporter.intensity.corrected.16.SC_250_7,7,SVEC,16
Reporter.intensity.corrected.10.SC_250_8,8,SVEC,10
Reporter.intensity.corrected.13.SC_250_8,8,SVEC,13
Reporter.intensity.corrected.16.SC_250_8,8,SVEC,16
Reporter.intensity.corrected.10.SC_250_9,9,SVEC,10
Reporter.intensity.corrected.13.SC_250_9,9,SVEC,13
Reporter.intensity.corrected.16.SC_250_9,9,SVEC,16
Reporter.intensity.corrected.10.SC_250_10,10,SVEC,10
Reporter.intensity.corrected.13.SC_250_10,10,SVEC,13
Reporter.intensity.corrected.16.SC_250_10,10,SVEC,16
Reporter.intensity.corrected.10.SC_250_11,11,SVEC,10
Reporter.intensity.corrected.13.SC_250_11,11,SVEC,13
Reporter.intensity.corrected.16.SC_250_11,11,SVEC,16
Reporter.intensity.corrected.10.SC_250_12,12,SVEC,10
Reporter.intensity.corrected.13.SC_250_12,12,SVEC,13
Reporter.intensity.corrected.16.SC_250_12,12,SVEC,16
